1.980e+02,4.728e-241
2.159e+02,,1.427e-18
2.159e+02,,1.487e-18
2.159e+02,,1.556e-18
2.159e+02,,1.635e-18
2.160e+02,,1.726e-18
2.160e+02,,1.830e-18
2.160e+02,,1.950e-18
2.160e+02,,2.089e-18
2.160e+02,,2.251e-18
2.161e+02,,2.441e-18
2.161e+02,,2.666e-18
2.161e+02,,2.934e-18
2.161e+02,,3.256e-18
2.161e+02,,3.649e-18
2.162e+02,,4.131e-18
2.162e+02,,4.728e-18
2.162e+02,,5.471e-18
2.162e+02,,6.399e-18
2.162e+02,,7.557e-18
2.163e+02,,8.992e-18
2.163e+02,,1.076e-17
2.163e+02,,1.289e-17
2.163e+02,,1.542e-17
2.163e+02,,1.835e-17
2.164e+02,,2.164e-17
2.164e+02,,2.522e-17
2.164e+02,,2.895e-17
2.164e+02,,3.267e-17
2.164e+02,,3.615e-17
2.165e+02,,3.918e-17
2.165e+02,,4.153e-17
2.165e+02,,4.302e-17
2.165e+02,,4.353e-17
2.165e+02,,4.302e-17
2.166e+02,,4.153e-17
2.166e+02,,3.917e-17
2.166e+02,,3.614e-17
